ИНН,Название,Тип (ЮЛ/ИП),Статус,"Выручка 2023, руб","Выручка 2024, руб","Выручка 2025, руб",Рост %,Флаг роста,"Прибыль 2025, руб",Гендир,Должность,ОКВЭД основной,ОКВЭД доп,Телефон,Email,Сайт,Источник (1С/Битрикс),Сумма продаж у нас,Дата последней продажи
3808233308,ОТП,ЮЛ,Действующая,92676000.0,115966000.0,84520000.0,-27.1,падает,109000.0,Киселев Сергей Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,18.12,,,,,1С+Компании,261326.0,2020/11/10 18:49:00
5047176986,Краски Леса,ЮЛ,Действующая,0.0,187042000.0,136205000.0,-27.2,падает,179000.0,Иванова Анна Васильевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.73.8,,,,,1С+Компании,,
4824007322,"ООО "" КОНТУР - КОНСУЛЬТАНТ """,ЮЛ,Действующая,47357000.0,59776000.0,43493000.0,-27.2,падает,357000.0,Королев Герман Валерьевич,ДИРЕКТОР,46.76.1,,,,,Компании,,
7751152151,ООО ПОЛУПРИЦЕП,ЮЛ,Действующая,1237834000.0,1436136000.0,1045142000.0,-27.2,падает,24625000.0,Эльтаева Анна Исломовна,ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР,64.91.2,,,,,1С+Компании,14080.0,2019/08/27 15:18:00
3255056301,Тарасов Алексей,ЮЛ,Действующая,56949000.0,264614000.0,192637000.0,-27.2,падает,5554000.0,Можчеров Виктор Иванович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,41.20,,,,,1С+Компании,,
7733741789,"ООО ""ИКС ЭЛЬ ФОРМАТ""",ЮЛ,Действующая,35299000.0,66660000.0,48430000.0,-27.3,падает,1017000.0,Иванова Елена Николаевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,18.12,,,,,1С+Компании,39880.0,2018/10/04 20:22:00
2309149169,"ООО ""СЕВЕН ТЕХНОЛОДЖИС""",ЮЛ,Действующая,17386000.0,22898000.0,16654000.0,-27.3,падает,-27000.0,Семичев Алексей Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.75,,,,,Компании,,
5503209174,Сибирь ИмпЭкс,ЮЛ,Действующая,3798413000.0,4335418000.0,3150208000.0,-27.3,падает,20235000.0,Кириченко Олег Юрьевич,ДИРЕКТОР,46.90,,,,,1С+Компании+Контакты,25592.0,2018/12/29 16:16:00
7705864122,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСПА МЕД""",ЮЛ,Действующая,283185000.0,296145000.0,215054000.0,-27.4,падает,5328000.0,Глазко Наталия Борисовна,Генеральный директор,46.46,,,,,1С,,
1632011979,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-ПИЦЦА""",ЮЛ,Действующая,1437000.0,7538000.0,5470000.0,-27.4,падает,510000.0,Нафигов Ринат Минвалеевич,ДИРЕКТОР,56.10,,,,,1С,,
7720610556,"ООО ""ДЖЕНЕРАЛАЭР""",ЮЛ,Действующая,124525000.0,119948000.0,87061000.0,-27.4,падает,2478000.0,Худяков Алексей Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,33.12,,,,,1С+Компании,,
7712076683,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЛИРА""",ЮЛ,Действующая,67000.0,131000.0,95000.0,-27.5,падает,95000.0,Бажанова Тамара Станиславовна,ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ,68.32.1,,,,,1С,,
7720619407,"ЗАО ""РЭД БОКС КО.""",ЮЛ,Действующая,109524000.0,105201000.0,76286000.0,-27.5,падает,10066000.0,Егоров Сергей Алимович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,52.10.9,,,,,1С+Компании,8900.0,2020/10/30 23:12:00
7841392038,"ООО ""МЕДИАКОМФОРТ""",ЮЛ,Действующая,17672000.0,25418000.0,18428000.0,-27.5,падает,-522000.0,Аксенов Антон Сергеевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,82.30,,,,,1С,,
7721582541,"ООО ""ЮНИСТРОЙ""",ЮЛ,Действующая,9435000.0,6791000.0,4921000.0,-27.5,падает,7000.0,Василисин Алексей Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,41.2,,,,,1С+Компании,,
7733386799,"ООО ""МЕБЕЛЬ ПОИНТ""",ЮЛ,Действующая,3344000.0,44723000.0,32383000.0,-27.6,падает,93000.0,Мещерякова Полина Сергеевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.47,,,,,1С,,
7701019588,"АО ""ФАРМ""",ЮЛ,Действующая,7563262000.0,6889502000.0,4978126000.0,-27.7,падает,-306335000.0,Фатеев Василий Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.49,,,,,1С+Компании+Контакты,8200.0,2020/11/06 18:01:00
1650079641,Компания Альфа,ЮЛ,Действующая,1962026000.0,1780714000.0,1286727000.0,-27.7,падает,23077000.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА ГРУПП""",,68.20.29,,,,,1С+Компании,,
5029214614,"ООО ""ДЕМИЛЕД""",ЮЛ,Действующая,59051000.0,60611000.0,43812000.0,-27.7,падает,1281000.0,Селезенев Антон Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.52,,,,,1С+Компании,,
7730638889,"ООО ""ПРИМУЛА""",ЮЛ,Действующая,874874000.0,1123065000.0,811644000.0,-27.7,падает,19505000.0,Шильников Илья Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.7,,,,,Компании,,
7743777110,"ООО ""ЮФК""",ЮЛ,Действующая,36255000.0,38020000.0,27476000.0,-27.7,падает,966000.0,Провоторов Андрей Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,31.0,,,,,1С+Компании,,
1655371858,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОМАТО.РУ""",ЮЛ,Действующая,7936000.0,3614000.0,2610000.0,-27.8,падает,-1446000.0,Апкаримов Рамиль Ильдарович,ДИРЕКТОР,47.91.2,,,,,1С,,
7813231303,"ООО ""ЭНЕРГО-СНАБ СПБ""",ЮЛ,Действующая,189582000.0,147116000.0,106162000.0,-27.8,падает,3466000.0,Кравченко Максим Сергеевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.90,,,,,1С,,
7719421836,ПРОМСЕРВИС,ЮЛ,Действующая,29260000.0,22047000.0,15912000.0,-27.8,падает,-4020000.0,Бобохин Александр Анатольевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,81.10,,,,,1С+Компании,,
2223631116,ФРАНЧАЙЗИ 24 ООО,ЮЛ,Действующая,76534000.0,97267000.0,70197000.0,-27.8,падает,5393000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕР УПРАВЛЕНИЕ""",,56.10,,,,,1С+Компании,1040.0,2020/10/21 16:07:00
9705047318,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬПИКА""",ЮЛ,Действующая,88732000.0,97012000.0,69919000.0,-27.9,падает,5298000.0,Умнова Оксана Анатольевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,47.75,,,,,1С,,
7805655242,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ ТОРГОВАЯ ФИРМА МЕТАЛЛ МЕБЕЛЬ""",ЮЛ,Действующая,5341000.0,10358000.0,7473000.0,-27.9,падает,267000.0,Канаева Людмила Федоровна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,31.01,,,,,1С,,
1433002916,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦВЕТОЧНЫЙ САЛОН ""КРИСТИНА""",ЮЛ,Действующая,67271000.0,76014000.0,54779000.0,-27.9,падает,1554000.0,Амброян Армен Липаритович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,43.29,,,,,1С,,
9723021471,"ООО ""АДВЕНТ""",ЮЛ,Действующая,58878000.0,157679000.0,113752000.0,-27.9,падает,14128000.0,Цветкова Виктория Сергеевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,62.01,,,,,1С+Компании,,
5017122729,"ООО ""РМГ""",ЮЛ,Действующая,198402000.0,249552000.0,179971000.0,-27.9,падает,3916000.0,Немойкина Анастасия Валерьевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,47.71,,,,,1С+Компании,35200.0,2020/09/28 14:21:00
7728307897,"ООО ""Т МЕДИКА""",ЮЛ,Действующая,401808000.0,489871000.0,352984000.0,-27.9,падает,48914000.0,Галстян Арсен Генрихович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,82.99,,,,,1С+Компании,,
9729114757,"ООО ""ТЕТРИС""",ЮЛ,Действующая,28575000.0,16429000.0,11850000.0,-27.9,падает,2346000.0,Тетерина Ирина Валерьевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,31.01,,,,,Компании,,
9102207522,"ООО ""ГЕЛИОС-ТЕРМ""",ЮЛ,Действующая,41980000.0,35079000.0,25272000.0,-28.0,падает,327000.0,Суслов Дмитрий Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,25.21,,,,,1С+Компании,6940.0,2020/12/08 18:27:00
7720679364,"ООО ""СТИЛЬНЫЙ ПРОЕКТ""",ЮЛ,Действующая,10375000.0,11588000.0,8338000.0,-28.0,падает,250000.0,Мамаладзе Галина Станиславовна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.90,,,,,1С+Компании,,
6501198899,ЗАО  ТД СЛТ,ЮЛ,Действующая,16105000.0,30633000.0,22026000.0,-28.1,падает,1468000.0,Дудкина Светлана Сергеевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.49,,,,,1С+Компании,0.0,
7715397815,Мириада-автокар,ЮЛ,Действующая,12850000.0,29568000.0,21247000.0,-28.1,падает,8682000.0,Синютин Леонид Петрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.20.2,,,,,1С+Компании,,
9710058227,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНКОР""",ЮЛ,Действующая,69217000.0,58868000.0,42298000.0,-28.1,падает,3257000.0,Кравец Михаил Семенович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,56.10,,,,,1С,,
2014021607,"ООО ""ХОРДА""",ЮЛ,Действующая,62865000.0,52449000.0,37692000.0,-28.1,падает,9710000.0,Арсамерзоев Рашид Алхаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,47.19,,,,,1С+Компании,,
6672267542,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТА-ПРИНТ""",ЮЛ,Действующая,532113000.0,663072000.0,475924000.0,-28.2,падает,4880000.0,Черный Станислав Исаакович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,18.12,,,,,1С,,
7715882850,"ООО ""Джампика-продакшн""",ЮЛ,Действующая,260826000.0,295050000.0,211850000.0,-28.2,падает,1127000.0,Лукьянов Евгений Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,73.11,,,,,1С+Компании,,
1435361195,"ООО ""ИНФРАТЕРМ""",ЮЛ,Действующая,21414000.0,27144000.0,19482000.0,-28.2,падает,2139000.0,Тонгоесов Денис Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.18,,,,,Компании,,
7731584153,"ООО ""РПК""",ЮЛ,Действующая,38086000.0,106816000.0,76718000.0,-28.2,падает,-19718000.0,Гладков Александр Сергеевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,73.1,,,,,1С+Компании,,
6163228235,"ООО ""ТОТА""",ЮЛ,Действующая,32205000.0,26480000.0,19012000.0,-28.2,падает,1561000.0,Трофименко Виктория Ивановна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,32.40,,,,,1С+Компании,,
